Sample Number,Date Submitted,Analysis (Lead),Lead (ppb),Analysis (Copper),Copper (ppb),Street #,Street Name,City,Zip Code
LG38207,4/22/2016,Lead,0,Copper,0,525,12TH ST,FLINT,48503
LG18552,2/26/2016,Lead,0,Copper,0,1907 ,2ND AVE,FLINT,48503
LG20757,3/6/2016,Lead,0,Copper,260,308,4TH AVE,FLINT,48503
LG07760,2/2/2016,Lead,7,Copper,0,2417 ,ADAIR ST,FLINT,48506
LG10679,2/8/2016,Lead,8,Copper,70,2421 ,ADAIR ST,,48506
LG39240,4/25/2016,Lead,7,Copper,0,2421,ADAIR ST,FLINT,48506
LG26816,3/22/2016,Lead,0,Copper,0,1817,ADAMS AVE,FLINT,48505
LG31026,4/1/2016,Lead,5,Copper,120,1821,ADAMS AVE,FLINT,48505
LG05008,1/27/2016,Lead,2,Copper,0,1902 ,ADAMS AVE,FLINT,48505
LG05252,1/27/2016,Lead,5,Copper,0,1902 ,ADAMS AVE,FLINT,48505
LG11853,2/10/2016,Lead,6,Copper,220,2005 ,ADAMS AVE,FLINT,48505
LG31690,4/5/2016,Lead,7,Copper,80,2005,ADAMS AVE,FLINT,48505
LG02548,1/22/2016,Lead,0,Copper,90,2009 ,ADAMS AVE,FLINT,48505
LG03070,1/24/2016,Lead,3,Copper,90,2021 ,ADAMS AVE,FLINT,48505
LG24937,3/17/2016,Lead,2,Copper,50,2022,ADAMS AVE,FLINT,48505
LG24952,3/17/2016,Lead,20,Copper,80,2022,ADAMS AVE,FLINT,48505
LG02976,1/24/2016,Lead,5,Copper,0,2025 ,ADAMS AVE,FLINT,48505
LG10800,2/8/2016,Lead,2,Copper,90,2026 ,ADAMS AVE,FLINT,48505
LG13756,2/16/2016,Lead,1,Copper,90,2026 ,ADAMS AVE,FLINT,48505
LG20010,3/3/2016,Lead,4,Copper,290,2026 ,ADAMS AVE,FLINT,48505
LG23829,3/16/2016,Lead,0,Copper,200,2026,ADAMS AVE,FLINT,48505
LG29867,3/30/2016,Lead,0,Copper,180,2026,ADAMS AVE,FLINT,48505
LG35741,4/14/2016,Lead,0,Copper,170,2026,ADAMS AVE,FLINT,48505
LG02803,1/23/2016,Lead,14,Copper,140,2105 ,ADAMS AVE,FLINT,48505
LG06298,1/30/2016,Lead,1,Copper,0,2118 ,ADAMS AVE,FLINT,48505
LG05006,1/27/2016,Lead,4,Copper,110,2305 ,ADAMS AVE,FLINT,48505
LG45478,5/17/2016,Lead,3,Copper,120,2305,ADAMS AVE,FLINT,48505
LG45479,5/17/2016,Lead,26,Copper,300,2305,ADAMS AVE,FLINT,48505
LG04604,1/26/2016,Lead,1,Copper,60,2306 ,ADAMS AVE,FLINT,48505
LG04221,1/26/2016,Lead,10,Copper,0,2309 ,ADAMS AVE,FLINT,48505
LG31688,4/5/2016,Lead,2,Copper,100,2310,ADAMS AVE,FLINT,48505
LG18018,2/24/2016,Lead,8,Copper,80,2318 ,ADAMS AVE,FLINT,48505
LG38289,4/22/2016,Lead,0,Copper,0,2412,ADAMS AVE,FLINT,48505
LG15629,2/18/2016,Lead,1,Copper,0,710 ,ADDISON ST,FLINT,48505
LG02094,1/21/2016,Lead,0,Copper,60,801 ,ADDISON ST,FLINT,48505
LG01857,1/21/2016,Lead,3,Copper,0,921 ,ADDISON ST #1,FLINT,48505
LG08329,2/3/2016,Lead,8,Copper,0,921 ,ADDISON ST #1,FLINT,48505
LG13975,2/16/2016,Lead,1,Copper,0,921 ,ADDISON ST #1,FLINT,48505
LG49229,6/2/2016,Lead,3,Copper,0,921,ADDISON ST #1,FLINT,48505
LG01866,1/21/2016,Lead,62,Copper,"7,200",921 ,ADDISON ST #2,FLINT,48505
LG08296,2/3/2016,Lead,112,Copper,0,921,ADDISON ST #2,FLINT,48505
LG14263,2/16/2016,Lead,12,Copper,0,921 ,ADDISON ST #2,FLINT,48505
LG49264,6/2/2016,Lead,0,Copper,0,921,ADDISON ST 1,FLINT,48505
LF99982,1/15/2016,Lead,0,Copper,140,801 ,ADDISON ST A,FLINT,48505
LG49220,6/2/2016,Lead,2,Copper,0,921,ADDISON ST APT 2,FLINT,48505
LG08330,2/3/2016,Lead,13,Copper,90,742 ,ADDISON ST/ PO BOX 13347,FLINT,48505
LG10541,2/7/2016,Lead,2,Copper,70,5440 ,AFAF ST,FLINT,48505
LG09478,2/4/2016,Lead,0,Copper,0,2915 ,AGREE AVE,FLINT,48506
LG00532,1/19/2016,Lead,0,Copper,0,2927 ,AGREE AVE,FLINT,48506
LG00974,1/20/2016,Lead,0,Copper,0,2927 ,AGREE AVE,FLINT,48506
LG07013,2/1/2016,Lead,1,Copper,100,2975 ,AGREE AVE,FLINT,48506
LG04376,1/26/2016,Lead,0,Copper,0,3008 ,AIRPARK DR,FLINT,48532
LG28089,3/24/2016,Lead,3,Copper,0,2000,AITKEN AVE,FLINT,48503
LG30103,3/30/2016,Lead,4,Copper,0,2000,AITKEN AVE,FLINT,48503
LG34849,4/13/2016,Lead,2,Copper,0,2000,AITKEN AVE,FLINT,48503
LG55305,6/23/2016,Lead,3,Copper,130,2005,AITKEN AVE,FLINT,48503
LG55309,6/23/2016,Lead,5,Copper,90,2005,AITKEN AVE,FLINT,48503
LF91283,11/9/2015,Lead,0,Copper,0,2006 ,AITKEN AVE,FLINT,48503
LG04062,1/26/2016,Lead,0,Copper,0,2006 ,AITKEN AVE,FLINT,48503
LG39845,4/27/2016,Lead,0,Copper,0,2006,AITKEN AVE,FLINT,48503
LG56028,6/28/2016,Lead,0,Copper,0,2006,AITKEN AVE,FLINT,48503
LG35465,4/13/2016,Lead,0,Copper,130,2034,AITKEN AVE,FLINT,48503
LG18374,2/26/2016,Lead,4,Copper,0,2037 ,AITKEN AVE,FLINT,48503
LG16482,2/22/2016,Lead,8,Copper,0,2049 ,AITKEN AVE,FLINT,48503
LG02231,1/21/2016,Lead,0,Copper,0,2050 ,AITKEN AVE,FLINT,48503
LG46182,5/19/2016,Lead,0,Copper,70,2221,AITKEN AVE,FLINT,48503
LG38213,4/22/2016,Lead,0,Copper,0,2226,AITKEN AVE,FLINT,48505
LG16595,2/22/2016,Lead,13,Copper,0,1714 ,ALBERT ST,FLINT,48505
LG07702,2/2/2016,Lead,1,Copper,110,1914 ,ALBERT ST,FLINT,48505
LG02784,1/23/2016,Lead,0,Copper,110,3090 ,ALCOTT AVE,FLINT,48506
LG05673,1/28/2016,Lead,0,Copper,0,3605 ,ALDON LN,FLINT,48506
LG02541,1/22/2016,Lead,0,Copper,70,3610 ,ALDON LN,FLINT,48506-2680
LF91291,11/9/2015,Lead,0,Copper,0,3614 ,ALDON LN,FLINT,48506
LG05615,1/28/2016,Lead,0,Copper,0,3701 ,ALDON LN,FLINT,48506
LG01517,1/21/2016,Lead,0,Copper,160,3702 ,ALDON LN,FLINT,48506
LF99140,1/7/2016,Lead,0,Copper,0,3705 ,ALDON LN,FLINT,
LG07081,2/1/2016,Lead,0,Copper,0,3705 ,ALDON LN,FLINT,48506
LG01557,1/21/2016,Lead,0,Copper,0,3706 ,ALDON LN,FLINT,48506
LG15436,2/18/2016,Lead,0,Copper,0,3713 ,ALDON LN,FLINT,48506
LG08380,2/3/2016,Lead,0,Copper,0,3714 ,ALDON LN,FLINT,48506
LF99946,1/15/2016,Lead,0,Copper,0,3717 ,ALDON LN,FLINT,48506
LG18109,2/25/2016,Lead,172,Copper,490,2402 ,ALEXANDER ST,FLINT,48505
LG20782,3/6/2016,Lead,38,Copper,160,2402,ALEXANDER ST,FLINT,48504
LG24360,3/16/2016,Lead,16,Copper,80,2402,ALEXANDER ST,FLINT,48505
LG30034,3/30/2016,Lead,10,Copper,80,2402,ALEXANDER ST,FLINT,48505
LG36396,4/16/2016,Lead,19,Copper,120,2402,ALEXANDER ST,FLINT,48505
LG47353,5/25/2016,Lead,2,Copper,60,2402,ALEXANDER ST,FLINT,48505
LG54852,6/22/2016,Lead,3,Copper,0,2402,ALEXANDER ST,FLINT,48505
LG20430,3/4/2016,Lead,0,Copper,0,2404 ,ALEXANDER ST,FLINT,48505
LG02390,1/22/2016,Lead,4,Copper,100,2408 ,ALEXANDER ST,FLINT,48505
LG20200,3/3/2016,Lead,2,Copper,0,2809 ,ALEXANDER ST,FLINT,48505
LG25318,3/18/2016,Lead,6,Copper,0,3532,ALEXANDER ST,FLINT,48505
LG13044,2/12/2016,Lead,3,Copper,90,3605 ,ALEXANDER ST,FLINT,48505
LG31557,4/5/2016,Lead,0,Copper,0,639,ALFORD AVE,FLINT,48507
LG06806,2/1/2016,Lead,0,Copper,60,701 ,ALGONQUIN AVE,FLINT,48507
LG33625,4/8/2016,Lead,13,Copper,240,701,ALGONQUIN AVE,FLINT,48507
LG17023,2/23/2016,Lead,4,Copper,90,703 ,ALGONQUIN AVE,FLINT,48507
LG38286,4/22/2016,Lead,2,Copper,0,703,ALGONQUIN AVE,FLINT,48507
LF94281,12/2/2015,Lead,1,Copper,120,707 ,ALGONQUIN AVE,FLINT,48507
LG11359,2/9/2016,Lead,2,Copper,120,709 ,ALGONQUIN AVE,FLINT,48507
LG09198,2/4/2016,Lead,4,Copper,0,710 ,ALGONQUIN AVE,FLINT,48507
LG06789,2/1/2016,Lead,3,Copper,130,713 ,ALGONQUIN AVE,FLINT,48507
LG36303,4/15/2016,Lead,1,Copper,0,6517,ALISON DR,FLINT,48504
LG33602,4/8/2016,Lead,1,Copper,0,6521,ALISON DR,FLINT,48504
LG11274,2/9/2016,Lead,2,Copper,120,305 ,ALLENDALE PL,FLINT,48503
LG11430,2/9/2016,Lead,0,Copper,0,314 ,ALLENDALE PL,FLINT,48503
LG02344,1/22/2016,Lead,0,Copper,110,323 ,ALLENDALE PL,FLINT,48503
LG09271,2/4/2016,Lead,0,Copper,100,325 ,ALLENDALE PL,FLINT,48503
LG02467,1/22/2016,Lead,0,Copper,240,327 ,ALLENDALE PL,FLINT,48503
LG00846,1/20/2016,Lead,0,Copper,0,329 ,ALLENDALE PL,FLINT,48503
LG15435,2/18/2016,Lead,0,Copper,0,338 ,ALLENDALE PL,FLINT,48503
LG17497,2/24/2016,Lead,0,Copper,0,338 ,ALLENDALE PL,FLINT,48503
LG20498,3/4/2016,Lead,0,Copper,0,338 ,ALLENDALE PL,FLINT,48503
LG24175,3/16/2016,Lead,0,Copper,0,338,ALLENDALE PL,FLINT,48503
LG29843,3/30/2016,Lead,0,Copper,0,338,ALLENDALE PL,FLINT,48503
LG35625,4/14/2016,Lead,0,Copper,0,338,ALLENDALE PL,FLINT,48503
LF94303,12/2/2015,Lead,0,Copper,90,346 ,ALLENDALE PL,FLINT,48503
LG17472,2/24/2016,Lead,0,Copper,90,346 ,ALLENDALE PL,FLINT,48503
LG20007,3/3/2016,Lead,0,Copper,130,346 ,ALLENDALE PL,FLINT,48503
LG24168,3/16/2016,Lead,0,Copper,90,346,ALLENDALE PL,FLINT,48503
LG29837,3/30/2016,Lead,0,Copper,100,346,ALLENDALE PL,FLINT,48503
LG35774,4/14/2016,Lead,0,Copper,80,346,ALLENDALE PL,FLINT,48503
LF94260,12/2/2015,Lead,30,Copper,120,402 ,ALLENDALE PL,FLINT,48503
LG30145,3/30/2016,Lead,20,Copper,80,402,ALLENDALE PL,FLINT,48503
LG17368,2/24/2016,Lead,3,Copper,170,411 ,ALLENDALE PL,FLINT,48503
LG19553,3/2/2016,Lead,2,Copper,210,418 ,ALLENDALE PL,FLINT,48503
LG24171,3/16/2016,Lead,8,Copper,210,418,ALLENDALE PL,FLINT,48503
LG29777,3/30/2016,Lead,6,Copper,170,418,ALLENDALE PL,FLINT,48503
LG35626,4/14/2016,Lead,4,Copper,160,418,ALLENDALE PL,FLINT,48503
LG03753,1/25/2016,Lead,0,Copper,110,419 ,ALLENDALE PL,FLINT,48503
LG13939,2/16/2016,Lead,0,Copper,200,6201 ,ALLISON DR,FLINT,48504
LG08397,2/3/2016,Lead,0,Copper,0,6205 ,ALLISON DR,FLINT,48504
LG41921,5/3/2016,Lead,0,Copper,0,6205,ALLISON DR,FLINT,48504
LG46210,5/19/2016,Lead,0,Copper,0,6218,ALLISON DR,FLINT,48504
LG07555,2/2/2016,Lead,2,Copper,0,6310 ,ALLISON DR,FLINT,48504
LG05449,1/28/2016,Lead,0,Copper,0,6409 ,ALLISON DR,FLINT,48504
LG27967,3/24/2016,Lead,0,Copper,0,6510,ALLISON DR,FLINT,48504
LG36308,4/15/2016,Lead,0,Copper,130,6517,ALLISON DR,FLINT,48504
LG06828,2/1/2016,Lead,2,Copper,60,6521 ,ALLISON DR,FLINT,48504
LG17484,2/24/2016,Lead,2,Copper,110,113 ,ALMA AVE,FLINT,48505
LG19368,3/2/2016,Lead,0,Copper,70,113 ,ALMA AVE,FLINT,48505
LG20017,3/3/2016,Lead,0,Copper,0,202 ,ALMA AVE,FLINT,48505
LG04843,1/27/2016,Lead,0,Copper,0,828 ,ALMA AVE,FLINT,48505
LG02145,1/21/2016,Lead,0,Copper,140,2507 ,ALPHA WAY,FLINT,48506
LG20941,3/7/2016,Lead,0,Copper,0,2521,ALPHA WAY,FLINT,48506
LG10093,2/6/2016,Lead,10,Copper,70,2701 ,ALPHA WAY,FLINT,48506
LG49253,6/2/2016,Lead,0,Copper,0,2709,ALPHA WAY,FLINT,48506
LG49291,6/2/2016,Lead,0,Copper,0,2709,ALPHA WAY,FLINT,48506
LG06626,1/31/2016,Lead,0,Copper,0,2729 ,ALPHA WAY,FLINT,48506
LG00540,1/19/2016,Lead,0,Copper,0,2734 ,ALPHA WAY,FLINT,48506
LG02697,1/23/2016,Lead,0,Copper,0,2905 ,ALPHA WAY,FLINT,48506
LG10726,2/8/2016,Lead,0,Copper,0,2913 ,ALPHA WAY,FLINT,
LG38302,4/22/2016,Lead,0,Copper,0,2913,ALPHA WAY,FLINT,48506
LG33628,4/8/2016,Lead,2,Copper,60,2914,ALPHA WAY,FLINT,48506
LG11892,2/10/2016,Lead,0,Copper,60,2917 ,ALPHA WAY,FLINT,48506
LG13406,2/15/2016,Lead,0,Copper,0,2917 ,ALPHA WAY,FLINT,48506
LG28302,3/26/2016,Lead,0,Copper,50,2917,ALPHA WAY,FLINT,48506
LG28307,3/26/2016,Lead,0,Copper,0,2917,ALPHA WAY,FLINT,48506
LG10608,2/7/2016,Lead,0,Copper,0,2918 ,ALPHA WAY,FLINT,48506
LG18800,2/29/2016,Lead,0,Copper,160,2918 ,ALPHA WAY,FLINT,48506
LG19142,3/1/2016,Lead,0,Copper,0,2921 ,ALPHA WAY,FLINT,48506
LG05677,1/28/2016,Lead,0,Copper,100,2933 ,ALPHA WAY,FLINT,48506
LG09316,2/4/2016,Lead,0,Copper,80,2937 ,ALPHA WAY,FLINT,48506
LG09362,2/4/2016,Lead,0,Copper,0,4911 ,ALPHA WAY,FLINT,48506
LG30290,3/30/2016,Lead,0,Copper,100,4922,ALPHA WAY,FLINT,48506
LG01653,1/21/2016,Lead,0,Copper,90,5001 ,ALPHA WAY,FLINT,48506
LG26784,3/22/2016,Lead,0,Copper,0,5001,ALPHA WAY,FLINT,48506
LG42116,5/3/2016,Lead,0,Copper,0,5001,ALPHA WAY,FLINT,48506
LG02956,1/23/2016,Lead,0,Copper,0,5006 ,ALPHA WAY,FLINT,48506
LG11239,2/9/2016,Lead,0,Copper,0,5010 ,ALPHA WAY,FLINT,48506
LG26344,3/20/2016,Lead,0,Copper,70,5010,ALPHA WAY,FLINT,48506
LG01822,1/21/2016,Lead,0,Copper,0,5013 ,ALPHA WAY,FLINT,48506
LG18375,2/26/2016,Lead,1,Copper,0,5014 ,ALPHA WAY,FLINT,48506
LG09929,2/5/2016,Lead,25,Copper,70,2508 ,ALTOONA ST,FLINT,48504
LG36399,4/16/2016,Lead,24,Copper,90,2508,ALTOONA ST,FLINT,48504
LG36965,4/18/2016,Lead,7,Copper,0,2508,ALTOONA ST,FLINT,48504
LG36966,4/18/2016,Lead,3,Copper,0,2508,ALTOONA ST,FLINT,48504
LG47386,5/25/2016,Lead,2,Copper,0,2508,ALTOONA ST,FLINT,48504
LG55512,6/24/2016,Lead,17,Copper,0,2508,ALTOONA ST,FLINT,48504
LG36221,4/15/2016,Lead,136,Copper,240,2527,ALTOONA ST,FLINT,48504
LG10772,2/8/2016,Lead,10,Copper,120,2531 ,ALTOONA ST,FLINT,48504
LG22506,3/11/2016,Lead,0,Copper,80,2544,ALTOONA ST,FLINT,48504
LG22580,3/11/2016,Lead,0,Copper,0,2544,ALTOONA ST,FLINT,48504
LG36239,4/15/2016,Lead,0,Copper,0,2555,ALTOONA ST,FLINT,48504
LG12265,2/11/2016,Lead,1,Copper,80,2566 ,ALTOONA ST,FLINT,48504
LG20742,3/6/2016,Lead,0,Copper,0,2566,ALTOONA ST,FLINT,48504
LG03483,1/25/2016,Lead,0,Copper,90,515 ,ALVORD AVE,FLINT,48507
LG07801,2/2/2016,Lead,0,Copper,0,516 ,ALVORD AVE,FLINT,48507
LG03077,1/24/2016,Lead,0,Copper,0,523 ,ALVORD AVE,FLINT,48507
LG33632,4/8/2016,Lead,3,Copper,70,615,ALVORD AVE,FLINT,48507
LG20993,3/7/2016,Lead,7,Copper,0,619,ALVORD AVE,FLINT,48507
LG24343,3/16/2016,Lead,4,Copper,0,619,ALVORD AVE,FLINT,48507
LG29679,3/30/2016,Lead,0,Copper,0,619,ALVORD AVE,FLINT,48507
LG35577,4/14/2016,Lead,5,Copper,0,619,ALVORD AVE,FLINT,48507
LG08410,2/3/2016,Lead,3,Copper,50,620 ,ALVORD AVE,FLINT,48507
LG21925,3/9/2016,Lead,1,Copper,140,623,ALVORD AVE,FLINT,48517
LG24342,3/16/2016,Lead,0,Copper,80,623,ALVORD AVE,FLINT,48507
LG29695,3/30/2016,Lead,1,Copper,100,623,ALVORD AVE,FLINT,48507
LG35554,4/14/2016,Lead,1,Copper,100,623,ALVORD AVE,FLINT,48507
LG15651,2/18/2016,Lead,0,Copper,0,624 ,ALVORD AVE,FLINT,48507
LG10780,2/8/2016,Lead,0,Copper,50,627 ,ALVORD AVE,FLINT,48507
LG21924,3/9/2016,Lead,3,Copper,0,627,ALVORD AVE,FLINT,48507
LG24345,3/16/2016,Lead,0,Copper,0,627,ALVORD AVE,FLINT,48507
LG29676,3/30/2016,Lead,1,Copper,0,627,ALVORD AVE,FLINT,48507
LG35563,4/14/2016,Lead,1,Copper,50,627,ALVORD AVE,FLINT,48507
LG47443,5/25/2016,Lead,1,Copper,0,627,ALVORD AVE,FLINT,48507
LG55240,6/23/2016,Lead,1,Copper,0,627,ALVORD AVE,FLINT,48507
LG46228,5/19/2016,Lead,0,Copper,0,628,ALVORD AVE,FLINT,48507
LG19692,3/2/2016,Lead,9,Copper,0,631 ,ALVORD AVE,FLINT,48507
LG24351,3/16/2016,Lead,20,Copper,0,631,ALVORD AVE,FLINT,48507
LG30432,3/31/2016,Lead,7,Copper,0,631,ALVORD AVE,FLINT,48507
LG35556,4/14/2016,Lead,5,Copper,0,631,ALVORD AVE,FLINT,48507
LG47347,5/25/2016,Lead,3,Copper,0,631,ALVORD AVE,FLINT,48507
LG54447,6/22/2016,Lead,4,Copper,0,631,ALVORD AVE,FLINT,48507
LG03475,1/25/2016,Lead,3,Copper,50,635 ,ALVORD AVE,FLINT,48507
LG20992,3/7/2016,Lead,1,Copper,210,635,ALVORD AVE,FLINT,48507
LG24344,3/16/2016,Lead,2,Copper,180,635,ALVORD AVE,FLINT,48507
LG30059,3/30/2016,Lead,2,Copper,200,635,ALVORD AVE,FLINT,48507
LG35561,4/14/2016,Lead,2,Copper,310,635,ALVORD AVE,FLINT,48507
LG47422,5/25/2016,Lead,2,Copper,150,635,ALVORD AVE,FLINT,48507
LG54448,6/22/2016,Lead,4,Copper,0,635,ALVORD AVE,FLINT,48507
LG21926,3/9/2016,Lead,0,Copper,0,639,ALVORD AVE,FLINT,48507
LG24783,3/17/2016,Lead,3,Copper,0,639,ALVORD AVE,FLINT,48507
LG35562,4/14/2016,Lead,0,Copper,0,639,ALVORD AVE,FLINT,48507
LG48071,5/27/2016,Lead,0,Copper,0,639,ALVORD AVE,FLINT,48507
LG55249,6/23/2016,Lead,0,Copper,0,639,ALVORD AVE,FLINT,48507
LG04808,1/27/2016,Lead,0,Copper,0,644 ,ALVORD AVE,FLINT,
LG32219,4/6/2016,Lead,0,Copper,0,644,ALVORD AVE,FLINT,48507
LG42849,5/5/2016,Lead,0,Copper,0,644,ALVORD AVE,FLINT,48507
LG20994,3/7/2016,Lead,2,Copper,140,647,ALVORD AVE,FLINT,48507
LG26282,3/20/2016,Lead,2,Copper,110,647,ALVORD AVE,FLINT,48507
LG31290,4/4/2016,Lead,1,Copper,0,647,ALVORD AVE,FLINT,48507
LG35623,4/14/2016,Lead,2,Copper,0,647,ALVORD AVE,FLINT,48507
LG18063,2/24/2016,Lead,2,Copper,150,651 ,ALVORD AVE,FLINT,48507
LG47352,5/25/2016,Lead,2,Copper,140,651,ALVORD AVE,FLINT,48507
LG54442,6/22/2016,Lead,6,Copper,140,651,ALVORD AVE,FLINT,48507
LG47421,5/25/2016,Lead,2,Copper,90,687,ALVORD AVE,FLINT,48507
LG23555,3/15/2016,Lead,8,Copper,0,705,ALVORD AVE,FLINT,48507
LG30139,3/30/2016,Lead,3,Copper,0,705,ALVORD AVE,FLINT,48507
LG35769,4/14/2016,Lead,15,Copper,60,705,ALVORD AVE,FLINT,48507
LG47725,5/26/2016,Lead,4,Copper,0,705,ALVORD AVE,FLINT,48507
LG54445,6/22/2016,Lead,2,Copper,0,705,ALVORD AVE,FLINT,48507
LG31391,4/4/2016,Lead,0,Copper,0,706,ALVORD AVE,FLINT,48507
LG23557,3/15/2016,Lead,1,Copper,130,709,ALVORD AVE,FLINT,48507
LG29702,3/30/2016,Lead,2,Copper,110,709,ALVORD AVE,FLINT,48507
LG36960,4/18/2016,Lead,1,Copper,60,709,ALVORD AVE,FLINT,48507
LG32181,4/6/2016,Lead,0,Copper,0,710,ALVORD AVE,FLINT,48507
LG05445,1/28/2016,Lead,0,Copper,130,714 ,ALVORD AVE,FLINT,48507
LG23560,3/15/2016,Lead,6,Copper,50,717,ALVORD AVE,FLINT,48507
LG47345,5/25/2016,Lead,6,Copper,0,717,ALVORD AVE,FLINT,48507
LG54486,6/22/2016,Lead,3,Copper,0,717,ALVORD AVE,FLINT,48507
LG09083,2/4/2016,Lead,3,Copper,0,721 ,ALVORD AVE,FLINT,48507
LG23081,3/13/2016,Lead,0,Copper,0,725,ALVORD AVE,FLINT,48507
LG24341,3/16/2016,Lead,1,Copper,0,725,ALVORD AVE,FLINT,48507
LG29866,3/30/2016,Lead,2,Copper,0,725,ALVORD AVE,FLINT,48507
LG35771,4/14/2016,Lead,3,Copper,150,725,ALVORD AVE,FLINT,48507
LG47414,5/25/2016,Lead,0,Copper,0,725,ALVORD AVE,FLINT,48507
LG55560,6/27/2016,Lead,1,Copper,130,725,ALVORD AVE,FLINT,48507
LG08675,2/3/2016,Lead,0,Copper,0,726 ,ALVORD AVE,FLINT,48507
LG04550,1/26/2016,Lead,0,Copper,0,738 ,ALVORD AVE,FLINT,48507
LG06091,1/29/2016,Lead,5,Copper,120,742 ,ALVORD AVE,FLINT,48507
LG31288,4/4/2016,Lead,0,Copper,0,749,ALVORD AVE,FLINT,48507
LG35619,4/14/2016,Lead,0,Copper,0,749,ALVORD AVE,FLINT,48507
LG48229,5/31/2016,Lead,0,Copper,0,749,ALVORD AVE,FLINT,48507
LG54460,6/22/2016,Lead,1,Copper,0,749,ALVORD AVE,FLINT,48507
LG02160,1/21/2016,Lead,8,Copper,60,814 ,ALVORD AVE,FLINT,48507
LG14297,2/16/2016,Lead,0,Copper,140,821 ,ALVORD AVE,FLINT,48507
LG01719,1/21/2016,Lead,15,Copper,60,830 ,ALVORD AVE,FLINT,48507
LG16376,2/21/2016,Lead,0,Copper,0,830 ,ALVORD AVE,FLINT,48507
LG17381,2/24/2016,Lead,0,Copper,0,833 ,ALVORD AVE,FLINT,48507
LG19530,3/2/2016,Lead,0,Copper,0,833 ,ALVORD AVE,FLINT,48507
LG24340,3/16/2016,Lead,0,Copper,70,833,ALVORD AVE,FLINT,48507
LG30131,3/30/2016,Lead,0,Copper,70,833,ALVORD AVE,FLINT,48507
LG35580,4/14/2016,Lead,0,Copper,0,833,ALVORD AVE,FLINT,48507
LG02829,1/23/2016,Lead,0,Copper,0,834 ,ALVORD AVE,FLINT,48507
LG05142,1/27/2016,Lead,1,Copper,0,854 ,ALVORD AVE,FLINT,48507
LG02587,1/22/2016,Lead,7,Copper,0,916 ,ALVORD AVE,FLINT,48507
LG01899,1/21/2016,Lead,2,Copper,50,923 ,ALVORD AVE,FLINT,48507
LG10236,2/6/2016,Lead,3,Copper,230,923 ,ALVORD AVE,FLINT,48507
LG27439,3/23/2016,Lead,13,Copper,90,923,ALVORD AVE,FLINT,48507
LG29433,3/29/2016,Lead,3,Copper,100,923,ALVORD AVE,FLINT,48507
LG56866,6/30/2016,Lead,1,Copper,0,923,ALVORD AVE,FLINT,48507
LG56893,6/30/2016,Lead,1,Copper,0,923,ALVORD AVE,FLINT,48507
LF87412,10/13/2015,Lead,5,Copper,70,924 ,ALVORD AVE,FLINT,48507
LG17014,2/23/2016,Lead,2,Copper,0,924 ,ALVORD AVE,FLINT,48507
LG37716,4/20/2016,Lead,0,Copper,290,927,ALVORD AVE,FLINT,48507
LG04555,1/26/2016,Lead,4,Copper,0,1015 ,ALVORD AVE,FLINT,48507
LG23038,3/13/2016,Lead,0,Copper,0,1016,ALVORD AVE,FLINT,48507
LG08745,2/3/2016,Lead,9,Copper,210,1020 ,ALVORD AVE,FLINT,48507
LG04759,1/27/2016,Lead,6,Copper,0,1044 ,ALVORD AVE,FLINT,48507
LG10516,2/7/2016,Lead,23,Copper,0,1101 ,ALVORD AVE,FLINT,48507
LG20626,3/5/2016,Lead,2,Copper,100,1114,ALVORD AVE,FLINT,48507
LG09106,2/4/2016,Lead,3,Copper,0,1125 ,ALVORD AVE,FLINT,48507
LF87937,10/16/2015,Lead,10,Copper,70,1201 ,ALVORD AVE,FLINT,48507
LF97328,12/18/2015,Lead,8,Copper,90,1201 ,ALVORD AVE,FLINT,48507
LG09235,2/4/2016,Lead,6,Copper,60,1201 ,ALVORD AVE,FLINT,48507
LG09236,2/4/2016,Lead,4,Copper,0,1201 ,ALVORD AVE,FLINT,48507
LG09243,2/4/2016,Lead,0,Copper,0,1201 ,ALVORD AVE,FLINT,48507
LG09255,2/4/2016,Lead,6,Copper,90,1201 ,ALVORD AVE,FLINT,48507
LG37013,4/18/2016,Lead,52,Copper,360,1201,ALVORD AVE,FLINT,48507
LG42007,5/3/2016,Lead,21,Copper,150,1201,ALVORD AVE,FLINT,48507
LG44277,5/12/2016,Lead,3,Copper,60,1201,ALVORD AVE,FLINT,48507
LG49186,6/2/2016,Lead,4,Copper,50,1201,ALVORD AVE,FLINT,48507
LG52296,6/14/2016,Lead,5,Copper,60,1201,ALVORD AVE,FLINT,48507
LG56039,6/28/2016,Lead,4,Copper,0,1201,ALVORD AVE,FLINT,48507
LG13299,2/14/2016,Lead,12,Copper,170,1217 ,ALVORD AVE,FLINT,48507
LG10235,2/6/2016,Lead,3,Copper,0,1221 ,ALVORD AVE,FLINT,48507
LG13947,2/16/2016,Lead,3,Copper,0,1230 ,ALVORD AVE,FLINT,48507
LG29427,3/29/2016,Lead,3,Copper,250,1233,ALVORD AVE,FLINT,48507
LG41983,5/3/2016,Lead,7,Copper,110,1233,ALVORD AVE,FLINT,48507
LG06164,1/29/2016,Lead,25,Copper,100,1241 ,ALVORD AVE,FLINT,
LG07628,2/2/2016,Lead,0,Copper,140,720 ,ANN ARBOR ST,FLINT,48503
