Year,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1993,Pokey Reddick\reddipo01,29,FLA,2,,0,1,0,8,45,37,0.822,6,0,0,80,,,,,,0,0,0,0
1993,Jeff Reese\reeseje01,27,TOT,20,,5,9,3,57,529,472,0.892,3.11,1,2.7,1099,,,,103,-1.49,0,1,1,0
1993,Jeff Reese\reeseje01,27,HAR,19,,5,9,3,56,524,468,0.893,3.09,1,2.7,1086,,,,102,-1.02,0,1,1,0
1993,Jeff Reese\reeseje01,27,CGY,1,,0,0,0,1,5,4,0.8,4.52,0,0,13,,,,,,0,0,0,0
1993,Damian Rhodes\rhodeda01,24,TOR,22,,9,7,3,53,541,488,0.902,2.62,0,3.2,1213,,,,93,3.77,0,0,0,2
1993,Mike Richter\richtmi01,27,NYR,68,,42,12,6,159,1758,1599,0.91,2.57,5,11.7,3710,,,,86,25.46,0,0,0,2
1993,Vincent Riendeau\riendvi01,27,TOT,26,,9,10,1,73,546,473,0.866,3.31,1,1.6,1321,,,,127,-15.71,0,1,1,0
1993,Vincent Riendeau\riendvi01,27,BOS,18,,7,6,1,50,415,365,0.88,3.07,1,1.7,976,,,,115,-6.46,0,1,1,0
1993,Vincent Riendeau\riendvi01,27,DET,8,,2,4,0,23,131,108,0.824,4,0,-0.1,345,,,,,,0,0,0,0
1993,Roberto Romano\romanro01,31,PIT,2,,1,0,1,3,56,53,0.946,1.44,0,0.6,125,,,,,,0,0,0,0
1993,Dominic Roussel\roussdo01,23,PHI,60,,29,20,5,183,1762,1579,0.896,3.34,1,9.7,3285,,,,99,1.88,0,1,1,4
1993,Patrick Roy*\roypa01,28,MTL,68,,35,17,11,161,1956,1795,0.918,2.5,7,14.4,3867,,,,78,44.24,0,1,1,30
1993,Mikhail Shtalenkov\shtalmi01,28,MDA,10,,3,4,1,24,265,241,0.909,2.65,0,1.8,543,,,,,,0,0,0,0
1993,Peter Sidorkiewicz\sidorpe01,30,NJD,3,,0,3,0,6,55,49,0.891,2.77,0,0.3,130,,,,,,0,0,0,0
1993,Garth Snow\snowga01,24,QUE,5,,3,2,0,16,127,111,0.874,3.44,0,0.4,279,,,,,,0,0,0,2
1993,Tommy Soderstrom\soderto01,24,PHI,34,,6,18,4,116,851,735,0.864,4.01,2,2.2,1736,,,,130,-26.71,0,0,0,0
1993,Christian Soucy\soucych01,23,CHI,1,,0,0,0,0,0,0,,0,0,0,3,,,,,,0,0,0,0
1993,Robb Stauber\staubro01,26,LAK,22,,4,11,5,65,706,641,0.908,3.41,1,4.6,1144,,,,88,9.08,0,0,0,18
1993,Rick Tabaracci\tabarri01,25,WSH,32,,13,14,2,91,817,726,0.889,3.08,2,3.9,1770,,,,106,-5.27,0,0,0,6
1993,Chris Terreri\terrech01,29,NJD,44,,20,11,4,106,1141,1035,0.907,2.72,2,7.4,2340,,,,89,13.72,0,2,2,4
1993,Jocelyn Thibault\thibajo01,19,QUE,29,,8,13,3,83,768,685,0.892,3.31,0,3.9,1504,,,,103,-2.42,0,0,0,2
1993,Andrei Trefilov\trefian01,24,CGY,11,,3,4,2,26,305,279,0.915,2.51,2,2.2,623,,,,,,0,0,0,4
1993,Ron Tugnutt\tugnuro01,26,TOT,36,,12,18,2,100,1000,900,0.9,3.16,1,5.8,1898,,,,95,4.93,0,0,0,2
1993,Ron Tugnutt\tugnuro01,26,MDA,28,,10,15,1,76,828,752,0.908,3,1,5.4,1520,,,,87,10.88,0,0,0,2
1993,Ron Tugnutt\tugnuro01,26,MTL,8,,2,3,1,24,172,148,0.86,3.81,0,0.4,378,,,,,,0,0,0,0
1993,John Vanbiesbrouck\vanbijo01,30,FLA,57,,21,25,11,145,1912,1767,0.924,2.53,1,15.2,3440,,,,72,55.62,0,0,0,38
1993,Mike Vernon\vernomi01,30,CGY,48,,26,17,5,131,1209,1078,0.892,2.81,3,6.2,2798,,,,103,-4.14,0,0,0,14
1993,Jimmy Waite\waiteji01,24,SJS,15,,3,7,0,50,319,269,0.843,4.3,0,0.3,697,,,,,,0,0,0,6
1993,Darcy Wakaluk\wakalda01,27,DAL,36,,18,9,6,88,978,890,0.91,2.64,3,6.6,2000,,,,86,14.62,0,2,2,34
1993,Kay Whitmore\whitmka01,26,VAN,32,,18,14,0,113,848,735,0.867,3.53,0,2.5,1921,,,,127,-24.02,0,0,0,6
1993,Ken Wregget\wreggke01,29,PIT,42,,21,12,7,138,1291,1153,0.893,3.37,1,6.7,2456,,,,102,-2.54,0,1,1,8
1993,Wendell Young\youngwe01,30,TBL,9,,2,3,1,20,211,191,0.905,2.5,1,1.3,480,,,,,,0,0,0,4
1994,Mike Bales\balesmi01,23,OTT,1,,0,0,0,0,1,1,1,0,0,0,3,,,,,,0,0,0,0
1994,Tom Barrasso\barrato01,29,PIT,2,,0,1,1,8,75,67,0.893,3.84,0,0.4,125,,,,,,0,0,0,0
1994,Don Beaupre\beaupdo01,33,OTT,38,,8,25,3,121,1167,1046,0.896,3.36,1,6,2161,,,,104,-4.98,0,0,0,10
1994,Ed Belfour*\belfoed01,29,CHI,42,,22,15,3,93,990,897,0.906,2.28,5,6,2450,,,,94,5.43,0,3,3,11
1994,Jean-Claude Bergeron\bergeje01,26,TBL,17,,3,9,1,49,374,325,0.869,3.33,1,0.9,883,,,,132,-11.82,0,0,0,2
1994,Craig Billington\billicr01,28,TOT,17,,5,7,2,51,380,329,0.866,3.62,0,0.8,846,,,,135,-13.22,0,0,0,4
1994,Craig Billington\billicr01,28,OTT,9,,0,6,2,32,240,208,0.867,4.06,0,0.6,472,,,,134,-8.14,0,0,0,2
1994,Craig Billington\billicr01,28,BOS,8,,5,1,0,19,140,121,0.864,3.05,0,0.3,373,,,,,,0,0,0,2
1994,Fred Brathwaite\brathfr01,22,EDM,14,,2,5,1,40,292,252,0.863,4,0,0.6,601,,,,138,-10.97,0,0,0,0
1994,Martin Brodeur*\brodema01,22,NJD,40,,19,11,6,89,908,819,0.902,2.44,3,5.2,2184,,,,99,1.27,0,2,2,2
1994,Sean Burke\burkese01,28,HAR,42,,17,19,4,108,1233,1125,0.912,2.68,0,8.2,2418,,,,88,14.58,0,1,1,8
1994,Jim Carey\careyji01,20,WSH,28,,18,6,3,57,654,597,0.913,2.13,4,4.4,1604,,,,88,8.02,0,0,0,0
1994,Jon Casey\caseyjo01,32,STL,19,,7,5,4,40,400,360,0.9,2.75,0,2.2,872,,,,101,-0.23,0,0,0,0
1994,Tim Cheveldae\cheveti01,26,WIN,30,,8,16,3,97,818,721,0.881,3.7,0,3,1571,,,,119,-15.67,0,1,1,2
1994,Byron Dafoe\dafoeby01,23,WSH,4,,1,1,1,11,80,69,0.863,3.53,0,0.2,187,,,,,,0,0,0,0
1994,Philippe DeRouville\derouph01,20,PIT,1,,1,0,0,3,27,24,0.889,3,0,0.1,60,,,,,,0,0,0,0
1994,Manny Fernandez\fernama01,20,DAL,1,,0,1,0,3,27,24,0.889,3.05,0,0.1,59,,,,,,0,0,0,0
1994,Stephane Fiset\fisetst01,24,QUE,32,,17,10,3,87,968,881,0.91,2.78,2,6.3,1879,,,,90,9.24,0,3,3,2
1994,Mark Fitzpatrick\fitzpma01,26,FLA,15,,6,7,2,36,361,325,0.9,2.64,2,2,819,,,,100,-0.11,0,0,0,0
1994,Wade Flaherty\flahewa01,27,SJS,18,,5,6,1,44,455,411,0.903,3.1,1,2.6,852,,,,97,1.24,0,1,1,0
1994,Grant Fuhr*\fuhrgr01,32,TOT,17,,2,9,3,59,464,405,0.873,4.03,0,1.3,878,,,,128,-12.87,0,0,0,2
1994,Grant Fuhr*\fuhrgr01,32,LAK,14,,1,7,3,47,379,332,0.876,4.04,0,1.2,698,,,,125,-9.32,0,0,0,2
1994,Grant Fuhr*\fuhrgr01,32,BUF,3,,1,2,0,12,85,73,0.859,4,0,0.1,180,,,,,,0,0,0,0
1994,Joaquin Gage\gagejo02,21,EDM,2,,0,2,0,7,40,33,0.825,4.25,0,-0.1,99,,,,,,0,1,1,0
1994,Jeff Hackett\hackeje01,26,CHI,7,,1,3,2,13,150,137,0.913,2.38,0,1,328,,,,,,0,0,0,0
1994,Dominik Hasek*\hasekdo01,30,BUF,41,,19,14,7,85,1221,1136,0.93,2.11,5,10.3,2416,,,,70,36.39,0,0,0,2
1994,Glenn Healy\healygl01,32,NYR,17,,8,6,1,35,377,342,0.907,2.36,1,2.3,888,,,,93,2.48,0,2,2,2
1994,Guy Hebert\hebergu01,28,MDA,39,,12,20,4,109,1132,1023,0.904,3.13,2,6.6,2092,,,,97,3.54,0,0,0,2
1994,Ron Hextall\hextaro01,30,PHI,31,,17,9,4,88,801,713,0.89,2.9,1,3.6,1824,,,,111,-8.36,0,0,0,13
1994,Kelly Hrudey\hrudeke01,34,LAK,35,,14,13,5,99,1099,1000,0.91,3.14,0,7.1,1894,,,,91,10.26,0,0,0,0
1994,Arturs Irbe\irbear01,27,SJS,38,,14,19,3,111,1056,945,0.895,3.26,4,5.3,2043,,,,106,-6.01,0,0,0,4
1994,Pauli Jaks\jakspa01,23,LAK,1,,0,0,0,2,25,23,0.92,3,0,0.2,40,,,,,,0,0,0,0
1994,Curtis Joseph\josepcu01,27,STL,36,,20,10,1,89,904,815,0.902,2.79,1,5.1,1914,,,,99,0.88,0,1,1,0
1994,Nikolai Khabibulin\khabini01,22,WIN,26,,8,9,4,76,723,647,0.895,3.41,0,3.6,1339,,,,106,-4.12,0,1,1,4
1994,Trevor Kidd\kiddtr01,22,CGY,43,,22,14,6,107,1170,1063,0.909,2.61,3,7.4,2463,,,,92,9.32,0,1,1,2
1994,Olaf Kolzig\kolziol01,24,WSH,14,,2,8,2,30,305,275,0.902,2.49,0,1.7,724,,,,99,0.32,0,0,0,4
1994,Blaine Lacher\lachebl01,24,BOS,35,,19,11,2,79,805,726,0.902,2.41,4,4.6,1965,,,,99,1.03,0,1,1,4
1994,Darrin Madeley\madelda01,26,OTT,5,,1,3,0,15,147,132,0.898,3.53,0,0.8,255,,,,,,0,0,0,0
1994,Kirk McLean\mcleaki01,28,VAN,40,,18,12,10,109,1140,1031,0.904,2.75,1,6.7,2374,,,,96,4.34,0,1,1,4
1994,Jamie McLennan\mclenja01,23,NYI,21,,6,11,2,67,539,472,0.876,3.39,0,1.7,1185,,,,125,-13.41,0,0,0,2
1994,Andy Moog\moogan01,34,DAL,31,,10,12,7,72,846,774,0.915,2.44,2,5.9,1770,,,,86,12.11,0,1,1,14
1994,Jason Muzzatti\muzzaja01,24,CGY,1,,0,0,0,0,8,8,1,0,0,0.1,10,,,,,,0,0,0,0
1994,Chris Osgood\osgooch01,22,DET,19,,14,5,0,41,496,455,0.917,2.26,1,3.5,1087,,,,83,8.31,0,0,0,2
1994,Felix Potvin\potvife01,23,TOR,36,,15,13,7,104,1120,1016,0.907,2.91,0,6.9,2144,,,,93,7.35,0,0,0,4
1994,Daren Puppa\puppada01,29,TBL,36,,14,19,2,90,946,856,0.905,2.68,1,5.6,2013,,,,96,4.05,0,1,1,2
1994,Bill Ranford\ranfobi01,28,EDM,40,,15,20,3,133,1134,1001,0.883,3.62,2,4.4,2203,,,,118,-20.26,0,2,2,2
1994,Jeff Reese\reeseje01,28,HAR,11,,2,5,1,26,234,208,0.889,3.27,0,1,477,,,,112,-2.74,0,0,0,0
1994,Damian Rhodes\rhodeda01,25,TOR,13,,6,6,1,34,404,370,0.916,2.69,0,2.8,760,,,,85,6.17,0,0,0,4
1994,Mike Richter\richtmi01,28,NYR,35,,14,17,2,97,884,787,0.89,2.92,2,4,1993,,,,110,-9.11,0,0,0,2
1994,Vincent Riendeau\riendvi01,28,BOS,11,,3,6,1,27,221,194,0.878,2.86,0,0.7,565,,,,123,-5.03,0,0,0,2
1994,Dominic Roussel\roussdo01,24,PHI,19,,11,7,0,42,486,444,0.914,2.34,1,3.3,1075,,,,87,6.32,0,0,0,6
1994,Patrick Roy*\roypa01,29,MTL,43,,17,20,6,127,1357,1230,0.906,2.97,1,8.3,2566,,,,94,7.91,0,1,1,20
1994,Tommy Salo\saloto01,23,NYI,6,,1,5,0,18,189,171,0.905,3.02,0,1.1,358,,,,,,0,1,1,0
1994,Geoff Sarjeant\sarjege01,25,STL,4,,1,0,0,6,52,46,0.885,3,0,0.2,120,,,,,,0,1,1,2
1994,Mikhail Shtalenkov\shtalmi01,29,MDA,18,,4,7,1,49,448,399,0.891,3.63,0,2.1,810,,,,110,-4.46,0,0,0,2
1994,Garth Snow\snowga01,25,QUE,2,,1,1,0,11,63,52,0.825,5.54,0,-0.1,119,,,,,,0,0,0,0
1994,Tommy Soderstrom\soderto01,25,NYI,26,,8,12,3,70,717,647,0.902,3.11,1,4.1,1350,,,,98,1.28,0,0,0,2
1994,Robb Stauber\staubro01,27,TOT,7,,2,3,0,22,156,134,0.859,3.97,0,0.2,333,,,,,,0,0,0,0
1994,Robb Stauber\staubro01,27,BUF,6,,2,3,0,20,150,130,0.867,3.79,0,0.3,317,,,,,,0,0,0,0
1994,Robb Stauber\staubro01,27,LAK,1,,0,0,0,2,6,4,0.667,7.33,0,-0.1,16,,,,,,0,0,0,0
1994,Jamie Storr\storrja01,19,LAK,5,,1,3,1,17,152,135,0.888,3.87,0,0.7,263,,,,,,0,0,0,0
1994,Rick Tabaracci\tabarri01,26,TOT,13,,3,3,3,21,240,219,0.913,2.11,0,1.6,596,,,,88,2.86,0,2,2,2
1994,Rick Tabaracci\tabarri01,26,WSH,8,,1,3,2,16,147,131,0.891,2.44,0,0.7,394,,,,,,0,1,1,2
1994,Rick Tabaracci\tabarri01,26,CGY,5,,2,0,1,5,93,88,0.946,1.48,0,0.9,202,,,,,,0,1,1,0
1994,Chris Terreri\terrech01,30,NJD,15,,3,7,2,31,309,278,0.9,2.53,0,1.7,734,,,,101,-0.28,0,0,0,0
1994,Jocelyn Thibault\thibajo01,20,QUE,18,,12,2,2,35,423,388,0.917,2.34,1,3,898,,,,83,7.05,0,0,0,0
1994,Mike Torchia\torchmi01,22,DAL,6,,3,2,1,18,172,154,0.895,3.3,0,0.9,327,,,,,,0,0,0,0
1994,Andrei Trefilov\trefian01,25,CGY,6,,0,3,0,16,130,114,0.877,4.07,0,0.4,236,,,,,,0,0,0,0
1994,Ron Tugnutt\tugnuro01,27,MTL,7,,1,3,1,18,172,154,0.895,3.12,0,0.9,346,,,,,,0,0,0,0
1994,John Vanbiesbrouck\vanbijo01,31,FLA,37,,14,15,4,86,1000,914,0.914,2.47,4,6.8,2087,,,,87,13.42,0,1,1,6
1994,Mike Vernon\vernomi01,31,DET,30,,19,6,4,76,710,634,0.893,2.52,1,3.4,1807,,,,108,-5.41,0,0,0,8
1994,Jimmy Waite\waiteji01,25,CHI,2,,1,1,0,5,51,46,0.902,2.53,0,0.3,119,,,,,,0,0,0,0
1994,Darcy Wakaluk\wakalda01,28,DAL,15,,4,8,0,40,341,301,0.883,3.18,2,1.3,754,,,,118,-6.1,0,0,0,4
1994,Kay Whitmore\whitmka01,27,VAN,11,,0,6,2,37,279,242,0.867,3.98,0,0.7,558,,,,133,-9.26,0,1,1,7
1994,Ken Wregget\wreggke01,30,PIT,38,,25,9,2,118,1219,1101,0.903,3.21,0,7.1,2208,,,,97,3.19,0,0,0,14
1994,Wendell Young\youngwe01,31,PIT,10,,3,6,0,27,255,228,0.894,3.26,0,1.3,497,,,,107,-1.65,0,0,0,2
1995,Scott Bailey\bailesc01,23,BOS,11,,5,1,2,31,264,233,0.883,3.26,0,1,571,,,,,,0,0,0,0
1995,Mike Bales\balesmi01,24,OTT,20,,2,14,1,72,560,488,0.871,4.15,0,1.6,1040,,,,127,-15.12,0,0,0,2
1995,Tom Barrasso\barrato01,30,PIT,49,,29,16,2,160,1626,1466,0.902,3.43,2,9.2,2799,,,,97,5.17,0,3,3,18
1995,Don Beaupre\beaupdo01,34,TOT,41,,6,28,0,136,1062,926,0.872,3.87,1,3.2,2106,,,,126,-28.12,0,2,2,31
1995,Don Beaupre\beaupdo01,34,OTT,33,,6,23,0,110,892,782,0.877,3.73,1,3,1770,,,,121,-19.39,0,2,2,17
1995,Don Beaupre\beaupdo01,34,TOR,8,,0,5,0,26,170,144,0.847,4.64,0,0.1,336,,,,,,0,0,0,14
1995,Ed Belfour*\belfoed01,30,CHI,50,,22,17,10,135,1373,1238,0.902,2.74,1,7.8,2956,,,,97,4.47,0,2,2,36
1995,Jean-Claude Bergeron\bergeje01,27,TBL,12,,2,6,2,42,250,208,0.832,4.23,0,-0.2,595,,,,,,0,0,0,0
1995,Allan Bester\besteal01,31,DAL,10,,4,5,1,30,297,267,0.899,2.99,0,1.6,601,,,,,,0,0,0,2
1995,Craig Billington\billicr01,29,BOS,27,,10,13,3,79,594,515,0.867,3.44,1,1.5,1380,,,,131,-18.66,0,0,0,2
1995,Martin Biron\bironma01,18,BUF,3,,0,2,0,10,64,54,0.844,5.05,0,0,119,,,,,,0,0,0,0
1995,John Blue\bluejo01,29,BUF,5,,2,2,0,15,137,122,0.891,3.52,0,0.6,255,,,,,,0,0,0,0
1995,Fred Brathwaite\brathfr01,23,EDM,7,,0,2,0,12,140,128,0.914,2.45,0,1,293,,,,,,0,0,0,2
1995,Martin Brodeur*\brodema01,23,NJD,77,,34,30,12,173,1954,1781,0.911,2.34,6,12.8,4433,,,,87,25.49,0,1,1,6
1995,Sean Burke\burkese01,29,HAR,66,,28,28,6,190,2034,1844,0.907,3.11,4,12.5,3669,,,,92,16.61,0,6,6,16
1995,Jim Carey\careyji01,21,WSH,71,,35,24,9,153,1631,1478,0.906,2.26,9,9.9,4069,,,,92,12.68,0,1,1,6
1995,Jon Casey\caseyjo01,33,STL,9,,2,3,0,25,180,155,0.861,3.8,0,0.4,395,,,,,,0,0,0,0
1995,Tim Cheveldae\cheveti01,27,WIN,30,,8,18,3,111,948,837,0.883,3.93,0,3.8,1695,,,,115,-14.7,0,0,0,0
1995,Byron Dafoe\dafoeby01,24,LAK,47,,14,24,8,172,1539,1367,0.888,3.87,1,6.9,2666,,,,110,-15.67,0,0,0,6
1995,Tom Draper\drapeto01,29,WIN,1,,0,0,0,3,14,11,0.786,5.37,0,-0.1,34,,,,,,0,0,0,0
1995,Manny Fernandez\fernama01,21,DAL,5,,0,1,1,19,121,102,0.843,4.58,0,0,249,,,,,,0,0,0,0
1995,Eric Fichaud\fichaer01,20,NYI,24,,7,12,2,68,659,591,0.897,3.31,1,3.5,1234,,,,102,-1.06,0,1,1,0
1995,Stephane Fiset\fisetst01,25,COL,37,,22,6,7,103,1012,909,0.898,2.93,1,5.4,2107,,,,100,-0.2,0,1,1,2
1995,Mark Fitzpatrick\fitzpma01,27,FLA,34,,15,11,3,88,810,722,0.891,2.96,0,3.8,1786,,,,107,-5.72,0,0,0,12
1995,Wade Flaherty\flahewa01,28,SJS,24,,3,12,1,92,689,597,0.866,4.85,0,1.7,1137,,,,131,-22.01,0,0,0,0
1995,Grant Fuhr*\fuhrgr01,33,STL,79,,30,28,16,209,2157,1948,0.903,2.87,3,12.5,4365,,,,95,10.11,0,1,1,8
1995,Joaquin Gage\gagejo02,22,EDM,16,,2,8,1,45,350,305,0.871,3.77,0,1,717,,,,127,-9.45,0,0,0,4
1995,Jeff Hackett\hackeje01,27,CHI,35,,18,11,4,80,948,868,0.916,2.4,4,6.6,2000,,,,83,16.3,0,1,1,8
1995,Dominik Hasek*\hasekdo01,31,BUF,59,,22,30,6,161,2011,1850,0.92,2.83,2,14.8,3417,,,,79,43.28,0,1,1,6
1995,Glenn Healy\healygl01,33,NYR,44,,17,14,11,124,1237,1113,0.9,2.9,2,6.8,2564,,,,99,1.65,0,1,1,8
1995,Guy Hebert\hebergu01,29,MDA,59,,28,23,5,157,1820,1663,0.914,2.83,4,12.3,3326,,,,85,27.87,0,0,0,6
1995,Ron Hextall\hextaro01,31,PHI,53,,31,13,7,112,1292,1180,0.913,2.17,4,8.7,3102,,,,85,19.24,0,1,1,28
1995,Corey Hirsch\hirscco01,23,VAN,41,,17,14,6,114,1173,1059,0.903,2.93,1,6.8,2338,,,,96,5.15,0,2,2,2
1995,Kevin Hodson\hodsoke01,23,DET,4,,2,0,0,3,67,64,0.955,1.1,1,0.7,163,,,,,,0,0,0,0
1995,Kelly Hrudey\hrudeke01,35,LAK,36,,7,15,10,113,1214,1101,0.907,3.26,0,7.5,2077,,,,92,10.32,0,0,0,4
1995,Arturs Irbe\irbear01,28,SJS,22,,4,12,4,85,607,522,0.86,4.59,0,1.1,1112,,,,138,-23.34,0,0,0,4
1995,Pat Jablonski\jablopa01,28,TOT,24,,5,9,6,63,681,618,0.907,2.97,0,4.2,1272,,,,91,6.18,0,1,1,2
1995,Pat Jablonski\jablopa01,28,MTL,23,,5,9,6,62,676,614,0.908,2.94,0,4.2,1264,,,,90,6.67,0,1,1,2
1995,Pat Jablonski\jablopa01,28,STL,1,,0,0,0,1,5,4,0.8,7.83,0,0,8,,,,,,0,0,0,0
1995,Curtis Joseph\josepcu01,28,EDM,34,,15,16,2,111,971,860,0.886,3.44,0,4.1,1936,,,,113,-12.37,0,1,1,4
1995,Nikolai Khabibulin\khabini01,23,WIN,53,,26,20,3,152,1656,1504,0.908,3.13,2,10.4,2914,,,,90,16.21,0,0,0,12
1995,Trevor Kidd\kiddtr01,23,CGY,47,,15,21,8,119,1130,1011,0.895,2.78,3,5.7,2570,,,,104,-4.22,0,2,2,4
1995,Olaf Kolzig\kolziol01,25,WSH,18,,4,8,2,46,406,360,0.887,3.08,0,1.8,897,,,,112,-4.76,0,0,0,2
1995,Patrick Labrecque\labrepa01,24,MTL,2,,0,1,0,7,47,40,0.851,4.29,0,0.1,98,,,,,,0,0,0,2
1995,Blaine Lacher\lachebl01,25,BOS,12,,3,5,2,44,284,240,0.845,3.94,0,0.2,671,,,,,,0,0,0,4
1995,Scott Langkow\langksc01,20,WIN,1,,0,0,0,0,2,2,1,0,0,0,6,,,,,,0,0,0,0
1995,Kirk McLean\mcleaki01,29,VAN,45,,15,21,9,156,1292,1136,0.879,3.54,2,4.7,2645,,,,119,-24.76,0,2,2,6
1995,Jamie McLennan\mclenja01,24,NYI,13,,3,9,1,39,342,303,0.886,3.68,0,1.5,636,,,,112,-4.26,0,0,0,2
1995,Andy Moog\moogan01,35,DAL,41,,13,19,7,111,1106,995,0.9,2.99,1,6.1,2228,,,,99,1.35,0,0,0,28
1995,Jason Muzzatti\muzzaja01,25,HAR,22,,4,8,3,49,551,502,0.911,2.9,1,3.6,1013,,,,88,6.97,0,0,0,33
1995,Chris Osgood\osgooch01,23,DET,50,,39,6,5,106,1190,1084,0.911,2.17,5,7.8,2933,,,,88,14.88,1,2,3,4
1995,Felix Potvin\potvife01,24,TOR,69,,30,26,11,192,2135,1943,0.91,2.87,2,13.8,4009,,,,89,24.87,0,0,0,4
1995,Daren Puppa\puppada01,30,TBL,57,,29,16,9,131,1605,1474,0.918,2.46,5,11.6,3189,,,,80,32.03,0,1,1,4
1995,Bruce Racine\racinbr01,29,STL,11,,0,3,0,12,101,89,0.881,3.13,0,0.4,230,,,,,,0,0,0,2
1995,Jamie Ram\ramja01,25,NYR,1,,0,0,0,0,9,9,1,0,0,0.1,27,,,,,,0,0,0,0
1995,Bill Ranford\ranfobi01,29,TOT,77,,34,30,9,237,2054,1817,0.885,3.29,2,8.5,4322,,,,114,-28.36,0,3,3,2
1995,Bill Ranford\ranfobi01,29,BOS,40,,21,12,4,109,1030,921,0.894,2.84,1,5.2,2307,,,,104,-4.37,0,2,2,0
1995,Bill Ranford\ranfobi01,29,EDM,37,,13,18,5,128,1024,896,0.875,3.81,1,3.3,2015,,,,123,-23.98,0,1,1,2
1995,Jeff Reese\reeseje01,29,TOT,26,,9,10,1,68,634,566,0.893,3.22,1,3.1,1269,,,,106,-3.6,0,0,0,0
1995,Jeff Reese\reeseje01,29,TBL,19,,7,7,1,54,464,410,0.884,3.26,0,1.9,994,,,,115,-6.87,0,0,0,0
1995,Jeff Reese\reeseje01,29,HAR,7,,2,3,0,14,170,156,0.918,3.06,1,1.2,275,,,,,,0,0,0,0
1995,Damian Rhodes\rhodeda01,26,TOT,47,,14,27,5,127,1342,1215,0.905,2.77,2,8.1,2747,,,,93,9.32,0,2,2,4
1995,Damian Rhodes\rhodeda01,26,OTT,36,,10,22,4,98,1041,943,0.906,2.77,2,6.3,2123,,,,93,7.74,0,2,2,4
1995,Damian Rhodes\rhodeda01,26,TOR,11,,4,5,1,29,301,272,0.904,2.79,0,1.8,624,,,,,,0,0,0,0
1995,Mike Richter\richtmi01,29,NYR,41,,24,13,3,107,1221,1114,0.912,2.68,3,8.1,2396,,,,86,17.03,0,1,1,4
1995,Dominic Roussel\roussdo01,25,TOT,16,,4,5,2,38,312,274,0.878,3.07,1,1.1,742,,,,,,0,0,0,2
1995,Dominic Roussel\roussdo01,25,PHI,9,,2,3,2,22,178,156,0.876,2.89,1,0.6,456,,,,,,0,0,0,0
1995,Dominic Roussel\roussdo01,25,WIN,7,,2,2,0,16,134,118,0.881,3.37,0,0.5,285,,,,,,0,0,0,2
1995,Patrick Roy*\roypa01,30,TOT,61,,34,24,2,165,1797,1632,0.908,2.78,2,11.3,3565,,,,90,17.54,0,0,0,10
1995,Patrick Roy*\roypa01,30,COL,39,,22,15,1,103,1130,1027,0.909,2.68,1,7.2,2305,,,,90,11.78,0,0,0,4
1995,Patrick Roy*\roypa01,30,MTL,22,,12,9,1,62,667,605,0.907,2.95,1,4.1,1260,,,,92,5.75,0,0,0,6
1995,Tommy Salo\saloto01,24,NYI,10,,1,7,1,35,250,215,0.86,4.01,0,0.5,523,,,,,,0,0,0,0
1995,Geoff Sarjeant\sarjege01,26,SJS,4,,0,2,1,14,87,73,0.839,4.92,0,0,171,,,,,,0,0,0,2
1995,Corey Schwab\schwaco01,25,NJD,10,,0,3,0,12,119,107,0.899,2.18,0,0.6,331,,,,,,0,0,0,31
1995,Steve Shields\shielst01,23,BUF,2,,1,0,0,4,32,28,0.875,3.19,0,0.1,75,,,,,,0,0,0,2
1995,Mikhail Shtalenkov\shtalmi01,30,MDA,30,,7,16,3,85,814,729,0.896,3.12,0,4.2,1637,,,,103,-2.31,0,2,2,2
1995,Garth Snow\snowga01,26,PHI,26,,12,8,4,69,648,579,0.894,2.88,0,3.2,1437,,,,105,-3.18,0,0,0,18
1995,Tommy Soderstrom\soderto01,26,NYI,51,,11,22,6,167,1370,1203,0.878,3.87,2,4.8,2590,,,,120,-27.84,0,0,0,7
1995,Jamie Storr\storrja01,20,LAK,5,,3,1,0,12,147,135,0.918,2.75,0,1.1,262,,,,,,0,0,0,0
1995,Rick Tabaracci\tabarri01,27,CGY,43,,19,16,3,117,1087,970,0.892,2.94,3,5.3,2391,,,,106,-6.58,0,2,2,8
1995,Robbie Tallas\tallaro01,22,BOS,1,,1,0,0,3,29,26,0.897,3,0,0.2,60,,,,,,0,0,0,0
1995,Chris Terreri\terrech01,31,TOT,50,,16,29,1,164,1414,1250,0.884,3.61,0,5.8,2727,,,,114,-20.37,0,5,5,4
1995,Chris Terreri\terrech01,31,SJS,46,,13,29,1,155,1322,1167,0.883,3.7,0,5.2,2516,,,,115,-20.71,0,5,5,4
1995,Chris Terreri\terrech01,31,NJD,4,,3,0,0,9,92,83,0.902,2.57,0,0.5,210,,,,,,0,0,0,0
1995,Jose Theodore\theodjo01,19,MTL,1,,0,0,0,1,2,1,0.5,6.69,0,-0.1,9,,,,,,0,0,0,0
1995,Jocelyn Thibault\thibajo01,21,TOT,50,,26,17,5,138,1480,1342,0.907,2.86,3,9.1,2893,,,,92,12.34,0,0,0,2
