Year,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
2016,Mike Condon\condomi01,26,OTT,40,38,19,14,6,96,1115,1019,0.914,2.5,5,6.7,2304,19,0.5,7,99,0.49,0,0,0,4
2016,Mike Condon\condomi01,26,PIT,1,0,0,0,0,0,7,7,1,0,0,0.1,20,0,,0,,,0,0,0,0
2016,Pheonix Copley\copleph01,25,STL,1,1,0,1,0,5,29,24,0.828,5.09,0,-0.1,59,0,0,1,,,0,0,0,0
2016,Jared Coreau\coreaja01,25,DET,14,14,5,4,3,41,362,321,0.887,3.46,2,1,712,5,0.357,6,131,-9.67,0,0,0,0
2016,Corey Crawford\crawfco01,32,CHI,55,55,32,18,4,138,1691,1553,0.918,2.55,2,11,3247,29,0.527,7,94,8.34,0,1,1,2
2016,Scott Darling\darlisc01,28,CHI,32,27,18,5,5,67,877,810,0.924,2.38,2,6.2,1689,17,0.63,1,88,8.9,0,0,0,0
2016,Aaron Dell\dellaa01,27,SJS,20,17,11,6,1,37,533,496,0.931,2,1,4.2,1111,12,0.706,1,80,9.13,0,0,0,0
2016,Louis Domingue\dominlo01,24,ARI,31,26,11,15,1,82,888,806,0.908,3.08,0,4.6,1599,12,0.462,4,107,-5.15,0,0,0,0
2016,Chris Driedger\driedch01,22,OTT,1,0,0,1,0,4,15,11,0.733,6,0,-0.2,40,0,,0,,,0,0,0,0
2016,Devan Dubnyk\dubnyde01,30,MIN,65,63,40,19,5,141,1842,1701,0.923,2.25,5,13.1,3758,39,0.619,7,88,18.41,0,0,0,10
2016,Brian Elliott\elliobr01,31,CGY,49,45,26,18,3,121,1338,1217,0.91,2.55,2,7.3,2844,26,0.578,4,104,-5.21,0,0,0,4
2016,Jhonas Enroth\enrotjh01,28,TOR,6,4,0,3,1,18,141,123,0.872,3.94,0,0.2,274,0,0,0,,,0,0,0,0
2016,Marc-Andre Fleury\fleurma01,32,PIT,38,34,18,10,7,107,1181,1074,0.909,3.02,1,6.4,2125,16,0.471,5,105,-4.8,0,0,0,6
2016,Anton Forsberg\forsban01,24,CBJ,1,1,0,1,0,4,27,23,0.852,4.1,0,0,59,0,0,0,,,0,0,0,0
2016,John Gibson\gibsojo02,23,ANA,52,49,25,16,9,109,1437,1328,0.924,2.22,6,10.3,2950,28,0.571,7,88,15.36,0,1,1,4
2016,Jon Gillies\gillijo01,23,CGY,1,1,1,0,0,1,28,27,0.964,1,0,0.3,60,1,1,0,,,0,0,0,0
2016,Thomas Greiss\greisth01,31,NYI,51,49,26,18,5,126,1453,1327,0.913,2.69,3,8.6,2813,30,0.612,11,100,-0.26,0,1,1,0
2016,Philipp Grubauer\grubaph01,25,WSH,24,19,13,6,2,43,585,542,0.926,2.04,3,4.4,1265,13,0.684,1,85,7.63,0,0,0,0
2016,Kristers Gudlevskis\gudlekr01,24,TBL,1,0,0,0,0,0,3,3,1,0,0,0,11,0,,0,,,0,0,0,0
2016,Jonas Gustavsson\gustajo01,32,EDM,7,5,1,3,1,17,139,122,0.878,3.1,0,0.2,329,2,0.4,3,,,0,0,0,0
2016,Jaroslav Halak\halakja01,31,NYI,28,26,12,9,5,75,885,810,0.915,2.8,2,5.4,1605,14,0.538,3,98,1.59,0,1,1,0
2016,Andrew Hammond\hammoan01,28,OTT,6,4,0,2,0,14,86,72,0.837,4.08,0,-0.3,206,1,0.25,3,,,0,0,0,0
2016,Magnus Hellberg\hellbma01,25,NYR,2,1,1,0,0,2,28,26,0.929,1.53,0,0.2,79,1,1,0,,,0,0,0,0
2016,Connor Hellebuyck\helleco01,23,WPG,56,53,26,19,4,146,1572,1426,0.907,2.89,4,8.1,3034,25,0.472,9,107,-9.96,0,0,0,0
2016,Braden Holtby\holtbbr01,27,WSH,63,63,42,13,6,127,1690,1563,0.925,2.07,9,12.3,3680,39,0.619,8,87,19.25,0,0,0,0
2016,Jimmy Howard\howarja02,32,DET,26,24,10,11,1,49,675,626,0.927,2.1,1,5.1,1397,16,0.667,4,84,9.42,0,0,0,2
2016,Michael Hutchinson\hutchmi01,26,WPG,28,20,9,12,3,67,690,623,0.903,2.92,1,3.2,1378,8,0.4,1,112,-7.29,0,0,0,0
2016,Carter Hutton\huttoca01,31,STL,30,21,13,8,2,58,663,605,0.913,2.39,4,3.8,1459,11,0.524,3,101,-0.62,0,1,1,4
2016,Tristan Jarry\jarrytr01,21,PIT,1,1,0,1,0,3,25,22,0.88,3.06,0,0,59,0,0,0,,,0,0,0,0
2016,Chad Johnson\johnsch02,30,CGY,36,36,18,15,1,87,969,882,0.91,2.59,3,5.4,2013,18,0.5,7,104,-3.14,0,0,0,0
2016,Martin Jones\jonesma02,27,SJS,65,65,35,23,6,152,1725,1573,0.912,2.4,2,9.9,3800,39,0.6,8,102,-2.72,0,0,0,0
2016,Anton Khudobin\khudoan01,30,BOS,16,14,7,6,1,39,405,366,0.904,2.64,0,1.9,885,5,0.357,2,111,-3.95,0,1,1,2
2016,Keith Kinkaid\kinkake01,27,NJD,26,23,8,13,3,65,778,713,0.916,2.64,1,4.9,1476,12,0.522,4,97,2.33,0,1,1,0
